activeCases,activeCasesNew,recovered,recoveredNew,deaths,deathsNew,previousDayTests,totalCases,sourceUrl,lastUpdatedAtApify,readMe,regionData.region,regionData.activeCases,regionData.newInfected,regionData.recovered,regionData.newRecovered,regionData.deceased,regionData.newDeceased,regionData.totalInfected
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Chandigarh,43,-1,61201,5,812,1,62056
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Chhattisgarh,931,-28,989560,75,13552,1,1004043
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Dadra and Nagar Haveli and Daman and Diu,3,-1,10650,1,4,0,10657
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Delhi,459,11,1411736,46,25079,0,1437274
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Goa,906,4,168878,114,3182,2,172966
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Gujarat,186,3,815008,14,10078,0,825272
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Haryana,675,4,759972,16,9665,1,770312
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Himachal Pradesh,2413,-250,205457,402,3562,3,211432
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Jammu and Kashmir,1141,32,318409,126,4401,1,323951
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Jharkhand,215,-8,342360,25,5132,0,347707
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Karnataka,21187,28,2877785,1408,37105,17,2936077
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Kerala,182818,2983,3584634,17142,19345,99,3786797
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Ladakh,72,-9,20204,12,207,0,20483
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Lakshadweep,33,-2,10222,7,51,0,10306
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Madhya Pradesh,95,0,781479,8,10515,0,792089
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Maharashtra,58958,-2124,6221305,6384,135672,105,6415935
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Manipur,4303,-1205,104173,1570,1739,7,110215
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Meghalaya,3373,-48,68583,276,1261,4,73217
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Mizoram,7044,-580,44368,1223,192,2,51604
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Nagaland,1032,8,27841,83,609,1,29482
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Odisha,8705,-9,983245,926,7223,69,999173
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Puducherry,963,-8,120004,105,1806,0,122773
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Punjab,538,-33,583291,86,16351,4,600180
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Rajasthan,155,2,944886,12,8954,0,953995
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Sikkim,1706,-100,27087,182,364,0,29157
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Tamil Nadu,19621,-243,2543319,1887,34663,24,2597603
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Telangana,6728,-137,643812,494,3854,2,654394
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Tripura,1285,-122,79871,237,785,0,81941
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Uttarakhand,333,-9,335007,24,7376,0,342716
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Uttar Pradesh,408,1,1685877,23,22791,2,1709076
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,West Bengal,9635,-18,1513766,767,18346,9,1541747
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Andaman and Nicobar Islands,9,1,7419,0,129,0,7557
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Andhra Pradesh,15141,-331,1972399,1535,13715,13,2001255
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Arunachal Pradesh,1382,-88,50526,209,257,0,52165
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Assam,8224,-33,570308,658,5566,15,584098
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Bihar,147,-22,715772,30,9649,0,725568
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Chandigarh,44,1,61206,5,812,0,62062
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Chhattisgarh,897,-34,989668,108,13552,0,1004117
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Dadra and Nagar Haveli and Daman and Diu,4,1,10651,1,4,0,10659
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Delhi,430,-29,1411784,48,25079,0,1437293
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Goa,915,9,168989,111,3184,2,173088
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Gujarat,184,-2,815024,16,10079,1,825287
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Haryana,675,0,759990,18,9666,1,770331
353398,-7942,31636469,38487,434367,403,1585681,32424234,https://www.mohfw.gov.in/,2021-08-23T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Himachal Pradesh,2276,-137,205793,336,3563,1,211632
